icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,squawk,spi,position_source,extra_col_0,temperature,humidity,wind_speed,city,latitude,longitude,distance,delayed
a22236,N23676  ,United States,1730559842.0,1730559842,-117.4416,33.8752,1668.78,False,76.82,86.16,0.0,,1630.68,265.0,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,76.68881648514675,0
0d0c14,EUS1001 ,Mexico,1730559771.0,1730559772,-96.9,17.2083,11277.6,False,219.42,125.55,-0.33,,11986.26,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,2830.318644985871,1
801619,IGO862  ,India,1730559842.0,1730559843,87.5827,22.5925,6957.06,False,212.77,257.01,7.48,,7368.54,1443.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,12743.019931076793,0
ac96be,AAL260  ,United States,1730559843.0,1730559843,-103.2301,44.0544,8839.2,False,248.24,116.46,0.0,,8953.5,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1293.4468732298176,0
801623,AXB2711 ,India,1730559841.0,1730559842,77.9758,14.7802,9083.04,False,228.42,11.56,3.9,,9616.44,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13218.471648498762,0
a0f55d,N16093  ,United States,1730559843.0,1730559843,-92.8036,44.8167,899.16,False,28.88,184.09,1.63,,929.64,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,531.3780366731152,0
a5822b,N454NG  ,United States,1730559842.0,1730559842,-73.4784,42.7856,2095.5,False,119.46,329.46,-6.5,,2133.6,660.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,234.36614330172551,0
a1befc,UAL1731 ,United States,1730559842.0,1730559842,-94.2709,42.6089,9144.0,False,205.37,274.45,0.0,,9364.98,3555.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,553.9459094525093,0
801622,IGO435  ,India,1730559843.0,1730559843,77.6876,12.6996,5463.54,False,225.49,200.71,12.68,,5715.0,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13415.545837749365,0
440dc8,RVP313  ,Austria,1730559842.0,1730559842,-8.3549,39.9098,1623.06,False,48.91,202.25,-0.33,,1737.36,1353.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5444.150894816211,0
a21b44,MXY717  ,United States,1730559842.0,1730559843,-81.3221,28.4781,571.5,False,94.14,359.69,5.53,,632.46,,False,0,13.12,49,6.69,New York,40.7128,-74.006,1512.6808434396653,0
aa56b6,UAL322  ,United States,1730559843.0,1730559843,-84.396,33.532,11277.6,False,233.12,161.61,0.0,,11826.24,6533.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,969.0331036998728,1
511154,TKJ9PJ  ,Estonia,1730559841.0,1730559843,23.2786,44.3372,10675.62,False,265.4,132.72,0.0,,11049.0,113.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,7494.5854282959235,1
a46e40,DAL555  ,United States,1730559839.0,1730559839,-84.4355,33.6396,,True,0.0,270.0,,,,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,956.5497228024889,0
a57b4d,UAL1168 ,United States,1730559842.0,1730559843,-104.062,31.9911,10058.4,False,225.04,141.22,0.0,,10477.5,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1343.4207765988592,1
ad4f2a,CFS8695 ,United States,1730559842.0,1730559842,-122.066,47.5769,1866.9,False,85.83,27.49,0.65,,1775.46,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,1535.6480519660217,0
a9a0f1,N7198E  ,United States,1730559842.0,1730559842,-87.6257,30.4452,1584.96,False,42.38,174.43,2.28,,1623.06,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1268.6306631841703,0
511158,TKJ7TV  ,Estonia,1730559842.0,1730559842,24.4976,41.8734,10668.0,False,238.2,89.38,-0.33,,11049.0,1237.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,7736.038899085373,1
3ffc12,DMUHF   ,Germany,1730559842.0,1730559842,10.4246,52.2166,632.46,False,47.79,104.34,-0.33,,,7000.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6233.18013900287,0
a2decd,N284WB  ,United States,1730559713.0,1730559713,-88.1321,44.4917,,True,2.83,0.0,,,,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,293.2169790175331,0
abc6e0,WUP858  ,United States,1730559843.0,1730559843,-80.2069,26.195,99.06,False,61.07,83.71,-3.58,,137.16,1034.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,1709.0975883009298,0
4952c2,TAP72N  ,Portugal,1730559842.0,1730559842,-4.8686,43.0443,10607.04,False,231.45,26.11,9.43,,10911.84,530.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5576.646660158095,1
440daf,EJU83CM ,Austria,1730559842.0,1730559842,6.1161,46.3189,1805.94,False,142.22,244.73,15.93,,1981.2,,False,0,13.12,49,6.69,New York,40.7128,-74.006,6225.510396882661,0
4952c3,TAP1312 ,Portugal,1730559843.0,1730559843,-4.0527,49.2897,11582.4,False,229.95,24.73,0.0,,11986.26,501.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5396.492195486555,1
4952c4,TAP15NC ,Portugal,1730559843.0,1730559843,-7.8221,38.9773,7033.26,False,208.85,239.83,-4.23,,7277.1,2602.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5528.074642647419,0
88045a,AIQ4102 ,Thailand,1730559647.0,1730559647,98.9652,18.7737,,True,6.94,180.0,,,,,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,12960.907535146107,0
4952c5,TAP120R ,Portugal,1730559842.0,1730559842,-3.0128,42.4237,10668.0,False,245.82,246.44,0.0,,10980.42,3567.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5743.4789816570865,1
a89eb9,N65453  ,United States,1730559843.0,1730559843,-93.1087,45.382,944.88,False,29.32,270.0,-0.65,,1021.08,1200.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,588.8675106197198,0
acdfab,DAL1195 ,United States,1730559832.0,1730559842,-84.4236,33.6447,,True,6.94,73.12,,,,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,956.3140765068174,0
801629,IGO7615 ,India,1730559842.0,1730559842,79.9104,12.893,1280.16,False,86.65,68.77,-4.23,,1257.3,,False,0,13.12,49,6.69,New York,40.7128,-74.006,13493.140127849563,0
4952c7,TAP1036 ,Portugal,1730559842.0,1730559842,-8.9149,38.9231,2987.04,False,143.81,64.35,19.83,,3108.96,3351.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5444.153563647939,0
a0e250,AAL1665 ,United States,1730559842.0,1730559842,-98.6402,39.7662,10066.02,False,258.27,81.87,0.33,,10378.44,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,957.2396789393545,1
4952c8,TAP67M  ,Portugal,1730559842.0,1730559842,-8.5156,39.7865,6873.24,False,183.3,177.59,-5.2,,7124.7,2062.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5436.994283209642,0
e48d14,PROHA   ,Brazil,1730559569.0,1730559570,-40.0788,-21.0451,213.36,False,72.43,159.63,-2.6,,251.46,,False,0,13.12,49,6.69,New York,40.7128,-74.006,7685.983405401967,0
39de46,TVF50XN ,France,1730559842.0,1730559842,-1.6235,43.5366,11262.36,False,230.17,229.26,0.0,,11590.02,7672.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5797.695211854462,1
4b180c,SWR32F  ,Switzerland,1730559842.0,1730559842,4.6269,45.5879,8366.76,False,219.38,240.19,6.18,,8763.0,5704.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,6156.028577695756,0
39de45,TVF60PQ ,France,1730559842.0,1730559842,-6.1547,41.1031,10980.42,False,230.2,42.1,0.0,,11269.98,4725.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5562.588486615797,1
407a05,EZY87XL ,United Kingdom,1730559843.0,1730559843,-3.4599,53.8062,9829.8,False,235.39,105.46,4.23,,10279.38,7504.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5296.917183428883,0
440db0,EJU85PQ ,Austria,1730559842.0,1730559842,-1.9841,43.188,9753.6,False,212.68,42.26,0.0,,10088.88,504.0,False,0,13.12,49,6.69,New York,40.7128,-74.006,5786.4189751125,0
a72530,VNT56   ,United States,1730559842.0,1730559842,-82.1303,31.7937,10668.0,False,249.45,27.78,0.0,,11231.88,2301.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1221.2086155068482,1
a84509,N6319C  ,United States,1730559842.0,1730559842,-72.8041,40.8542,487.68,False,49.82,234.67,-0.33,,556.26,,False,0,13.12,49,6.69,New York,40.7128,-74.006,102.65936616724214,0
a2ded8,SWA3669 ,United States,1730559841.0,1730559841,-97.5962,35.3946,,True,0.0,354.38,,,,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,1126.0169749881366,0
ab63d7,DAL2027 ,United States,1730559841.0,1730559841,-108.1917,34.7295,10972.8,False,216.86,284.56,0.0,,11224.26,3641.0,False,0,12.67,81,1.54,Los Angeles,34.0522,-118.2437,927.0346896975078,1
ad694c,SWA786  ,United States,1730559843.0,1730559843,-89.5925,36.6347,10972.8,False,214.9,227.91,0.0,,11437.62,775.0,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,606.2233388293183,1
ac1c2c,N88HA   ,United States,1730559842.0,1730559843,-90.828,36.0949,8229.6,False,179.75,87.21,0.33,,8587.74,,False,0,8.98,71,5.81,Chicago,41.8781,-87.6298,699.1272153028287,0
