callsign,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,geo_altitude,position_source,extra_col_0
ADN87D  ,1733862282.0,1733862282,10.7806,49.5286,1120.14,False,94.06,109.82,-0.65,,False,0
AAH554  ,1733862304.0,1733862304,-157.6129,21.1762,4716.78,False,185.93,95.08,21.78,,False,0
CXK168  ,1733862246.0,1733862246,-112.0551,40.8402,1653.54,False,48.98,306.03,-0.33,,False,0
DAL880  ,1733862230.0,1733862230,-84.3816,33.6203,510.54,False,66.36,270.0,-3.58,,False,0
DLH452  ,1733862249.0,1733862249,-104.8222,49.2667,11582.4,False,265.07,210.05,0.33,,False,0
FDX5225 ,1733862313.0,1733862313,7.0329,50.9076,990.6,False,110.48,252.66,6.83,,False,0
LOT274  ,1733862312.0,1733862312,14.7862,53.1339,11887.2,False,189.72,72.65,-0.33,,False,0
PCM8971 ,1733862312.0,1733862312,-118.1298,34.1133,2186.94,False,83.33,110.22,0.0,,False,0
LOT9KM  ,1733862304.0,1733862304,19.0424,52.6434,8229.6,False,197.16,106.21,-0.33,,False,0
ACA262  ,1733862306.0,1733862306,-79.8788,43.64,1257.3,False,99.33,226.05,0.0,,False,0
LOT529  ,1733862312.0,1733862312,14.6235,50.2509,1699.26,False,143.23,204.17,-8.45,,False,0
EZY19FL ,1733862304.0,1733862304,-6.8963,40.1926,11582.4,False,238.71,29.71,0.0,,False,0
JZA7993 ,1733862120.0,1733862120,-69.9116,45.957,10363.2,False,187.95,267.49,0.0,,False,0
EZY14PY ,1733862313.0,1733862313,-2.3705,53.2057,1028.7,False,106.58,282.83,-8.78,,False,0
SWR72   ,1733862313.0,1733862313,-72.4223,42.344,12192.0,False,190.69,230.25,0.0,,False,0
N1FG    ,1733862028.0,1733862242,-75.841,37.2295,11887.2,False,272.56,34.62,-0.33,,False,0
SIA24   ,1733862313.0,1733862313,-92.4211,44.4007,12504.42,False,271.08,113.01,0.0,,False,0
DLH7HC  ,1733862311.0,1733862311,12.9092,48.4838,11269.98,False,212.84,111.85,0.0,,False,0
N1FJ    ,1733862288.0,1733862288,-83.9372,35.7312,12885.42,False,196.84,191.46,-0.98,,False,0
JZA694  ,1733862310.0,1733862310,-77.9937,42.9913,8244.84,False,206.9,129.35,5.53,,False,0
SIA23   ,1733862281.0,1733862281,99.8006,11.0666,12496.8,False,231.22,153.43,0.0,,False,0
EZY97AQ ,1733862312.0,1733862312,-4.1479,56.0019,845.82,False,99.72,264.67,0.0,,False,0
VTM288  ,1733862309.0,1733862309,-94.4082,33.0095,9448.8,False,301.79,41.41,0.33,,False,0
GJS4176 ,1733862227.0,1733862272,-74.1647,40.3044,3246.12,False,139.78,192.76,8.78,,False,0
,1733862311.0,1733862311,-101.1228,34.9795,10363.2,False,218.34,313.47,0.0,,False,0
SIA21   ,1733862289.0,1733862306,1.5119,58.2006,11277.6,False,257.26,111.59,0.0,,False,0
EZY58MV ,1733862286.0,1733862286,-6.6937,40.0122,11582.4,False,237.23,27.51,0.0,,False,0
N47MW   ,1733862309.0,1733862313,-82.7109,28.5132,11277.6,False,243.74,143.32,0.0,,False,0
JBU1230 ,1733862312.0,1733862312,-74.8588,40.2733,2895.6,False,151.25,90.0,-1.95,,False,0
BAW7    ,1733862313.0,1733862313,117.0155,39.184,12527.28,False,278.52,143.11,0.0,,False,0
KLM1226 ,1733862310.0,1733862313,6.4434,53.0824,7239.0,False,226.76,223.07,-11.38,,False,0
,1733862273.0,1733862273,-82.9428,33.1981,12496.8,False,275.42,38.33,-0.33,,False,0
,1733862028.0,1733862243,-75.7332,37.6555,10683.24,False,255.42,25.53,0.33,,False,0
N65RL   ,1733862310.0,1733862310,-89.187,35.5271,12184.38,False,134.13,296.66,0.0,,False,0
EJU73QD ,1733862271.0,1733862297,5.2198,47.4708,9136.38,False,198.02,317.11,-0.33,,False,0
N545MA  ,1733862228.0,1733862228,-112.2289,33.6779,853.44,False,44.43,84.69,-1.3,,False,0
LOL301  ,1733862313.0,1733862313,12.7369,47.1137,10363.2,False,244.3,311.07,0.0,,False,0
NOZ1613 ,1733862017.0,1733862114,15.6649,67.4362,11269.98,False,231.51,25.26,-0.33,,False,0
DLH99X  ,1733862313.0,1733862313,10.4732,48.0043,8389.62,False,260.04,254.04,7.48,,False,0
RPA5829 ,1733862312.0,1733862312,-71.905,41.5645,3893.82,False,207.09,64.39,-0.33,,False,0
,1733862309.0,1733862309,-90.5289,31.9239,10972.8,False,174.26,248.89,0.0,,False,0
MXD161  ,1733862108.0,1733862116,90.9255,23.2535,4724.4,False,207.55,140.43,7.8,,False,0
JZA932  ,1733862312.0,1733862312,-75.6258,39.8754,922.02,False,121.78,165.32,-2.28,,False,0
SLI675  ,1733862191.0,1733862191,-98.7989,19.9021,8115.3,False,212.76,263.61,-11.05,,False,0
N525BB  ,1733862309.0,1733862310,-93.1474,45.1364,3368.04,False,153.65,330.52,16.58,,False,0
WJA425  ,1733862249.0,1733862249,-109.8765,52.6981,12192.0,False,199.28,272.52,0.0,,False,0
KLM97J  ,1733862313.0,1733862313,3.0846,49.5032,10668.0,False,234.45,231.77,-0.33,,False,0
DLH9PP  ,1733862176.0,1733862176,-0.47,51.6052,2133.6,False,166.92,262.92,-0.33,,False,0
RYR67BK ,1733862117.0,1733862147,-1.47,52.0811,2788.92,False,111.8,6.34,-3.9,,False,0
JIA5278 ,1733862311.0,1733862311,-84.3462,32.8789,10363.2,False,189.89,224.78,0.33,,False,0
RYR809P ,1733862312.0,1733862312,13.5492,53.0719,11277.6,False,186.95,68.02,0.0,,False,0
GWI1RT  ,1733862313.0,1733862313,7.2719,50.7817,601.98,False,100.18,318.12,-5.2,,False,0
DAL2576 ,1733862313.0,1733862313,-77.4328,34.3708,11582.4,False,215.24,189.21,0.33,,False,0
